Timestamp,Rate Thinking Space II ,Rate Amethyst,Rate Flamewall,Rate Tidal Wave,Rate Nullscapes,Rate BOOBAWAMBA,Rate Every End,Rate andromeda,Rate Silent Clubstep,Rate Anathema,Rate Avernus,Rate Acheron,Rate Spectre,Rate Menace,Rate Tunnel of Despair,Rate Abyss of Darkness,Rate Defeated Circles,Rate Kyouki,Rate Subterminal Point,Rate Slaughterhouse,Rate KOCMOC,Rate Sakupen Circles,Rate Deimos,Rate Firework,Rate The Lightning Rod,Rate poocubed,Rate KOSETSU,Rate Saul Goodman,Rate Eyes in the Water,Rate CONVULSION,Rate MINUSdry,Rate Belladona,Rate Sevvend Clubstep,Rate The Hallucination,Rate COMBUSTION,Rate Deadlier Clubstep,Rate Solar Flare,Rate Apocalyptic Trilogy,Rate LIMBO,Rate Gaggatronda,Rate Edge of Destiny,Rate Codependence,Rate Mayhem,Rate walter white,Rate Operation Evolution,Rate Damascus,Rate PSYCHOPATH,Rate Collapse,Rate The Yangire,Rate SARYYX NEVER CLEAR,Rate The Plunge,Rate ORDINARY,Rate Midnight,Rate Sinister Silence,Rate arcturus,Rate BEELINE,Rate Climax,Rate Sonic Wave Infinity,Rate Waterfall,Rate Coalescence,Rate Crystal Crusher,Rate Tartarus,Rate Delta,Rate THE JET ENGINE,Rate Jigsaw,Rate BPATA MPAKA,Rate Cimmerian Shade,Rate Oblivion,Rate Viprin UFO,Rate Terminal Rampancy,Rate The Golden,Rate Natural Disaster,Rate Verdant Landscape,Rate UNKNOWN,Rate ATOMIC CANNON Mk III ,Who are you?,average by person,mode,median
10/29/2025 0:11:31,7,8,4,8,1,10,7,5,7,5,1,9,5,8,8,10,3,5,3,10,7,4,6,9,4,7,4,10,8,5,3,5,5,6,5,6,5,1,10,5,8,6,6,10,5,5,5,5,8,7,5,7,5,5,1,2,3,1,6,5,5,8,5,5,5,5,5,5,5,5,10,5,6,6,9,The goat Wyish,5.773333333,5,5
10/29/2025 0:28:06,8,4,9,7,8,5,5,6,2,8,6,5,8,10,7,3,8,7,3,6,8,5,7,8,6,5,7,4,7,6,2,3,8,6,5,3,8,7,9,10,8,8,6,5,5,7,7,7,9,3,9,2,7,7,10,7,5,1,7,8,6,5,5,4,8,8,2,7,7,8,8,6,6,7,8,jnellee72.,6.293333333,8,7
10/29/2025 0:28:23,7,7,9,9,9,10,4,5,6,1,10,8,5,5,4,6,5,4,5,9,8,2,7,9,5,6,5,5,6,5,5,5,5,5,5,6,8,5,7,7,3,7,5,5,5,5,5,5,4,5,5,5,5,5,7,5,5,8,10,5,5,3,5,5,5,5,5,5,3,5,10,5,8,5,6,Extreme_Focus,5.773333333,5,5
10/29/2025 0:34:39,2,3,6,2,7,8,1,7,1,9,6,4,7,9,8,4,6,8,2,5,4,1,8,6,8,5,5,3,6,7,1,1,4,5,5,3,9,1,5,8,4,3,1,3,8,3,6,5,6,2,9,1,7,6,2,8,5,1,5,6,2,2,8,7,5,7,3,9,7,7,4,3,9,2,3,lowgraphicsham,4.92,5,5
10/29/2025 0:36:27,3,2,9,2,5,8,6,8,5,9,5,6,8,9,6,3,7,9,1,4,8,5,6,8,8,8,7,5,9,6,7,1,8,8,8,9,10,5,8,9,8,4,2,5,8,7,6,8,7,4,9,1,8,5,7,8,7,4,8,9,5,6,7,8,9,2,3,8,8,6,5,8,7,7,9,gonker (shoe is a meanie),6.413333333,8,7
10/29/2025 0:53:46,8,9,9,7,10,6,6,8,1,10,6,7,9,9,6,8,8,9,4,3,7,4,9,8,6,10,5,7,9,3,6,7,8,10,5,2,9,5,8,8,10,7,8,7,5,6,6,6,7,6,8,3,8,9,6,8,6,8,8,10,6,6,8,7,9,4,2,9,10,6,8,10,9,5,7,thisusernameisdumb_,7.026666667,8,7
10/29/2025 0:54:20,6,6,8,7,8,6,6,5,2,9,8,7,10,9,4,3,5,7,3,5,6,2,10,8,8,6,5,7,6,5,4,6,6,7,4,5,9,7,8,6,7,6,6,5,5,7,7,6,8,4,7,4,6,7,4,6,5,6,7,6,5,5,8,7,7,7,5,8,8,5,7,8,8,4,9,.brokeasf,6.253333333,6,6
10/29/2025 1:07:29,3,5,9,8,3,2,8,7,10,8,5,8,7,5,1,1,7,8,4,10,5,5,10,9,5,4,8,5,7,6,8,6,4,7,7,10,8,6,10,4,8,6,4,5,6,7,3,8,6,5,6,5,8,5,8,3,4,6,7,8,5,9,8,5,3,4,7,7,4,4,8,8,6,10,7,AnyMouse8,6.213333333,8,6
10/29/2025 1:35:50,6,7,10,7,5,7,7,8,1,10,7,5,10,10,6,1,6,10,4,4,7,1,3,10,3,8,5,10,10,5,1,8,10,8,6,3,9,6,10,8,10,5,8,7,6,3,5,7,9,1,10,1,9,5,3,5,7,1,10,10,6,3,5,8,10,10,3,10,6,9,7,5,10,3,9,Enzigmo,6.506666667,10,7
10/29/2025 1:53:21,1,7,10,5,8,10,3,5,2,8,5,3,10,10,7,2,7,10,2,5,2,2,9,7,8,5,8,6,4,4,10,1,7,7,2,2,7,2,5,8,9,7,2,4,4,5,3,7,4,2,10,2,7,4,2,7,6,1,8,10,6,2,7,8,3,8,5,9,5,5,7,5,10,2,4,orangetan,5.546666667,2,5
10/29/2025 1:54:19,3,5,8,7,7,9,6,8,3,9,5,5,9,10,6,4,5,10,6,5,5,4,7,6,7,7,5,6,9,5,1,8,6,4,3,2,9,5,9,9,7,9,3,5,4,4,6,5,7,5,7,4,4,3,3,5,4,2,4,6,4,7,5,7,5,4,4,6,2,4,5,7,8,10,7,athani,5.72,5,5
10/29/2025 2:23:48,2,4,10,7,6,8,5,7,1,10,7,3,10,8,3,3,5,10,4,6,6,3,6,8,8,7,7,6,4,6,4,4,6,9,7,5,8,4,10,4,6,9,7,8,6,5,4,5,7,2,4,2,6,6,1,7,6,3,5,7,4,5,6,4,6,8,4,7,7,7,10,4,8,4,9,ctwotwo,5.866666667,4,6
10/29/2025 2:25:53,6,7,10,9,6,10,2,7,10,10,5,7,10,10,5,1,6,10,1,1,7,6,7,10,7,10,4,5,3,4,8,4,6,8,6,5,10,9,5,10,10,10,1,3,8,9,6,5,5,7,10,5,4,8,3,10,9,1,5,5,5,3,9,5,8,9,7,4,7,9,9,7,9,8,10,Ugandianos,6.666666667,10,7
10/29/2025 2:46:39,7,9,10,5,6,6,7,7,4,7,9,10,7,5,4,10,4,10,6,5,8,3,6,10,5,5,5,6,10,5,6,4,6,6,4,2,8,9,8,5,10,10,6,10,6,7,4,6,7,7,7,6,6,5,7,6,7,8,7,5,4,8,6,7,7,7,8,7,6,6,10,7,8,9,6,@hackerg46,6.693333333,6,7
